Date,Time,Open,High,Low,Close,Volume
2014.05.04,0:00,0.92834,0.92834,0.9272,0.92731,1853
2014.05.05,0:00,0.92728,0.92882,0.92514,0.92821,33333
2014.05.06,0:00,0.92822,0.93663,0.92698,0.93479,43538
2014.05.07,0:00,0.93479,0.93535,0.93174,0.93214,37888
2014.05.08,0:00,0.93207,0.93932,0.93201,0.93676,37522
2014.05.09,0:00,0.93676,0.93779,0.93459,0.936,28673
2014.05.11,0:00,0.93583,0.93644,0.93548,0.93562,1695
2014.05.12,0:00,0.93556,0.93846,0.93475,0.93583,26972
2014.05.13,0:00,0.93582,0.93814,0.93321,0.9362,33317
2014.05.14,0:00,0.93619,0.94079,0.93619,0.93673,33643
2014.05.15,0:00,0.93677,0.93919,0.93259,0.93541,36043
2014.05.16,0:00,0.9354,0.93701,0.93339,0.93581,25993
2014.05.18,0:00,0.9367,0.93709,0.93611,0.93636,2059
2014.05.19,0:00,0.93636,0.93653,0.93206,0.93313,34355
2014.05.20,0:00,0.93312,0.93343,0.92311,0.92316,46362
2014.05.21,0:00,0.92316,0.92522,0.92078,0.9233,42415
2014.05.22,0:00,0.92331,0.92725,0.92134,0.92248,38178
2014.05.23,0:00,0.92248,0.92484,0.92127,0.923,29943
2014.05.25,0:00,0.92338,0.92434,0.92304,0.92372,3286
2014.05.26,0:00,0.92372,0.92574,0.92299,0.9256,26811
2014.05.27,0:00,0.92561,0.92765,0.92324,0.92634,37192
2014.05.28,0:00,0.92633,0.92699,0.92132,0.92218,37139
2014.05.29,0:00,0.92226,0.93169,0.92097,0.9308,43671
2014.05.30,0:00,0.93077,0.93284,0.92877,0.93073,33631
2014.06.01,0:00,0.93065,0.93133,0.92942,0.92957,2820
2014.06.02,0:00,0.92957,0.93064,0.92332,0.92339,37847
2014.06.03,0:00,0.9234,0.92862,0.92279,0.92565,43830
2014.06.04,0:00,0.92566,0.92966,0.92515,0.92712,39908
2014.06.05,0:00,0.92713,0.93453,0.92568,0.93249,49716
2014.06.06,0:00,0.93249,0.93576,0.93179,0.93338,35978
2014.06.08,0:00,0.9336,0.93383,0.93337,0.93344,2425
2014.06.09,0:00,0.93342,0.93625,0.93334,0.93415,40658
2014.06.10,0:00,0.93416,0.93828,0.93412,0.93682,48026
2014.06.11,0:00,0.93684,0.9405,0.93635,0.93794,50061
2014.06.12,0:00,0.93795,0.94364,0.93489,0.94206,56641
2014.06.13,0:00,0.94206,0.94236,0.93742,0.94008,38874
2014.06.15,0:00,0.93952,0.94034,0.93887,0.93893,2748
2014.06.16,0:00,0.93897,0.94155,0.93727,0.93904,52349
2014.06.17,0:00,0.93905,0.93935,0.93289,0.93355,63787
2014.06.18,0:00,0.9335,0.94082,0.93208,0.93983,67223
2014.06.19,0:00,0.93981,0.94306,0.93894,0.93968,76593
2014.06.20,0:00,0.93968,0.94137,0.93768,0.9386,47931
2014.06.22,0:00,0.93747,0.939,0.93735,0.93832,6624
2014.06.23,0:00,0.9383,0.94441,0.93825,0.94202,51319
2014.06.24,0:00,0.94203,0.94301,0.93565,0.93625,57400
2014.06.25,0:00,0.93622,0.9407,0.93531,0.94024,56554
2014.06.26,0:00,0.94028,0.9419,0.93949,0.94046,42882
2014.06.27,0:00,0.94047,0.94403,0.94047,0.94211,33980
2014.06.29,0:00,0.9419,0.94243,0.94125,0.94128,3503
2014.06.30,0:00,0.94129,0.94382,0.93866,0.94276,48947
2014.07.01,0:00,0.94276,0.95038,0.94122,0.94893,60489
2014.07.02,0:00,0.94893,0.94936,0.94278,0.94323,57828
2014.07.03,0:00,0.94324,0.94396,0.93277,0.93455,62291
2014.07.04,0:00,0.93454,0.93682,0.93421,0.93634,46931
2014.07.06,0:00,0.93619,0.93625,0.93531,0.93576,5449
2014.07.07,0:00,0.93575,0.93756,0.93405,0.93695,44706
2014.07.08,0:00,0.93693,0.9414,0.93693,0.9408,51650
2014.07.09,0:00,0.94083,0.94232,0.9381,0.94206,57073
2014.07.10,0:00,0.94208,0.94561,0.93598,0.93822,64925
2014.07.11,0:00,0.93821,0.94075,0.93746,0.9389,45312
2014.07.13,0:00,0.93795,0.93876,0.93779,0.93809,6070
2014.07.14,0:00,0.93808,0.94021,0.93807,0.93899,42537
2014.07.15,0:00,0.93899,0.94,0.93476,0.93599,65477
2014.07.16,0:00,0.93599,0.937,0.9328,0.93632,59731
2014.07.17,0:00,0.9363,0.93903,0.93347,0.9345,69310
2014.07.18,0:00,0.9345,0.94096,0.93371,0.93903,50798
2014.07.20,0:00,0.93942,0.93995,0.93912,0.93934,4861
2014.07.21,0:00,0.93933,0.9397,0.93621,0.93628,43311
2014.07.22,0:00,0.93629,0.9421,0.93595,0.93873,59222
2014.07.23,0:00,0.93873,0.94604,0.93794,0.94393,60606
2014.07.24,0:00,0.94393,0.94698,0.941,0.94155,54312
2014.07.25,0:00,0.94155,0.94234,0.93914,0.93956,43627
2014.07.27,0:00,0.93961,0.94002,0.93942,0.93985,6368
2014.07.28,0:00,0.93985,0.94123,0.93833,0.94078,45024
2014.07.29,0:00,0.94079,0.94152,0.93731,0.93824,61495
2014.07.30,0:00,0.93824,0.93868,0.93018,0.93227,85313
2014.07.31,0:00,0.93228,0.9329,0.92782,0.92995,76076
2014.08.01,0:00,0.92993,0.93347,0.92742,0.93148,85654
2014.08.03,0:00,0.93066,0.93132,0.93048,0.93094,5779
2014.08.04,0:00,0.93095,0.93372,0.9308,0.93298,71283
2014.08.05,0:00,0.93299,0.93421,0.92924,0.93003,76555
2014.08.06,0:00,0.93002,0.9373,0.92906,0.93441,66007
2014.08.07,0:00,0.93441,0.93567,0.92577,0.92614,74098
2014.08.08,0:00,0.92614,0.92858,0.92381,0.9275,62470
2014.08.10,0:00,0.92746,0.92784,0.92721,0.92764,4170
2014.08.11,0:00,0.92763,0.92849,0.92577,0.92601,46474
2014.08.12,0:00,0.92601,0.92757,0.92462,0.92664,57264
2014.08.13,0:00,0.92665,0.93184,0.92638,0.93038,63057
2014.08.14,0:00,0.93038,0.93261,0.92866,0.93126,50912
2014.08.15,0:00,0.93129,0.93331,0.92967,0.93207,48549
2014.08.17,0:00,0.93175,0.93207,0.93123,0.93127,3753
2014.08.18,0:00,0.93129,0.93329,0.93077,0.93199,45491
2014.08.19,0:00,0.93199,0.93431,0.92856,0.92943,61867
2014.08.20,0:00,0.92944,0.9317,0.92741,0.92849,70887
2014.08.21,0:00,0.92849,0.93099,0.92357,0.93002,67577
2014.08.22,0:00,0.93002,0.9328,0.92919,0.93163,59849
2014.08.24,0:00,0.93048,0.93086,0.92901,0.92961,8528
2014.08.25,0:00,0.92961,0.93223,0.92745,0.92765,66814
2014.08.26,0:00,0.92764,0.93294,0.92708,0.93149,78170
2014.08.27,0:00,0.93147,0.93504,0.93089,0.9334,81810
2014.08.28,0:00,0.9334,0.93729,0.93317,0.93481,76465
2014.08.29,0:00,0.93479,0.93614,0.93309,0.93362,55026
2014.08.31,0:00,0.93246,0.93337,0.93231,0.9328,5057
2014.09.01,0:00,0.93282,0.93508,0.93257,0.93324,57377
2014.09.02,0:00,0.93323,0.93344,0.92671,0.92746,83430
2014.09.03,0:00,0.92746,0.93503,0.92619,0.93371,85017
2014.09.04,0:00,0.9337,0.93916,0.93287,0.93318,88833
2014.09.05,0:00,0.93316,0.94009,0.93316,0.93768,69460
2014.09.07,0:00,0.93633,0.93697,0.93615,0.93624,5989
